mot,occurrences,longueur,type,cote
académicien,1,11,ADJ,5
académie,9,8,NOM,5
academy,1,7,ADJ,5
accordéon,2,9,NOM,5
accordéoniste,3,13,NOM,5
acrobatie,1,9,NOM,5
acrobatique,2,11,ADJ,4
acrylique,5,9,ADJ,5
acte,23,4,NOM,5
acter,8,5,VER:pres,5
acteur,53,6,NOM,4
acteur,11,14,NOM,5
actrice,11,14,NOM,5
actra,4,5,NOM,5
adagio,3,6,ADV,5
adaptation,16,10,NOM,5
adisq,2,5,NOM,5
affiche,8,7,NOM,4
album,58,5,NOM,4
alexandrin,3,10,ADJ,5
allegro,5,7,ADV,5
alto,14,4,NOM,5
amadeus,2,7,NOM,5
amore,13,5,VER:subp,4
analekta,2,8,VER:simp,5
animateur,12,9,ADJ,4
anonymus,3,8,NOM,4
antenne,2,7,NOM,4
anthologie,8,10,NOM,5
antihéros,2,9,NOM,5
aquarelle,3,9,NOM,5
aquareller,9,10,VER:pres,5
aquatinte,2,9,NOM,5
arabesque,2,9,ADJ,5
arlequin,3,8,NOM,5
art,414,3,NOM,5
arte,8,4,NOM,5
article,17,7,VER:pres,5
artisanat,3,9,NOM,4
artiste,226,7,NOM,5
artistique,38,10,ADJ,5
artistiquer,5,11,VER:pres,4
artists,4,7,NOM,5
auditeur,8,8,NOM,4
auteur,137,6,NOM,5
auteure,7,7,NOM,5
autobiographie,4,14,NOM,5
autobiographique,2,16,ADJ,5
automatisme,2,11,NOM,5
autoportrait,6,12,NOM,5
bach,39,4,NOM,5
ballade,6,7,NOM,5
ballet,25,6,NOM,5
ballroom,3,8,NOM,5
band,16,4,ADJ,5
bander,12,6,VER:pres,4
bandonéon,2,9,NOM,5
baroque,12,7,NOM,5
baryton,22,7,NOM,5
batterie,4,8,NOM,4
batteur,3,7,NOM,4
beat,6,4,ADJ,5
bédé,2,4,NOM,5
beethoven,27,9,ADJ,5
bibliographie,1,13,NOM,5
bibliophilie,1,12,NOM,5
bibliothécaire,1,14,NOM,5
bibliotheque,14,12,ADJ,5
bibliothèque,64,12,NOM,5
billetterie,13,11,NOM,4
biographe,5,9,NOM,5
biographie,14,10,NOM,5
biographier,9,11,VER:pres,5
biographique,2,12,ADJ,5
bizet,5,5,ADJ,5
blues,33,5,NOM,5
bohème,4,6,NOM,5
boogie,11,6,NOM,5
botticelli,1,10,VER:pper,5
bouquin,4,7,NOM,5
brahms,13,6,NOM,5
brass,9,5,ADJ,5
broadway,3,8,NOM,5
brontë,3,6,NOM,5
burlesque,6,9,ADJ,5
bwv,5,3,NOM,5
cabaret,6,7,NOM,5
cadrage,3,7,NOM,5
cadrer,4,6,VER:pres,5
calligraphier,1,13,VER:pres,4
caméra,13,6,NOM,4
canne,4,5,NOM,4
cantatrice,2,10,NOM,5
cantique,1,8,NOM,5
capitol,2,7,NOM,5
capitole,1,8,NOM,5
capter,7,6,VER:infi,4
caricature,4,10,NOM,4
carnaval,3,8,NOM,5
cataloguer,18,10,VER:pres,5
cbc,18,3,NOM,5
cbf,6,3,ADJ,5
cbft,6,4,NOM,5
cbmt,6,4,VER:futu,5
cbs,9,3,NOM,5
centaur,2,7,NOM,5
céramique,11,9,ADJ,4
céramiste,2,9,NOM,5
cfcf,7,4,ADJ,5
cftm,3,4,NOM,5
chagall,2,7,NOM,5
chanson,74,7,NOM,5
chansonnette,5,12,NOM,5
chansonnier,2,11,NOM,5
chant,49,5,NOM,5
chantant,3,8,ADJ,5
chanter,48,7,VER:pper,4
chanteur,51,8,NOM,5
chopin,8,6,NOM,5
choral,15,6,ADJ,4
chorégraphe,14,11,NOM,5
chorégraphie,10,12,NOM,5
chorégraphiés,1,13,VER:pper,5
choregraphique,2,14,ADJ,5
chorégraphique,3,14,ADJ,5
choriste,1,8,NOM,5
chostakovitch,2,13,ADJ,5
ciné,7,4,NOM,5
cinéaste,51,8,NOM,5
cinema,27,6,VER:simp,5
cinéma,178,6,NOM,5
cinémathèque,11,12,NOM,5
cinématographique,5,17,ADJ,5
cinéphile,4,9,ADJ,5
cineplex,3,8,NOM,5
cinéplex,9,8,NOM,5
cinêplex,9,8,ADJ,5
cirque,5,6,NOM,5
civm,4,4,NOM,5
cjad,2,4,NOM,5
ckac,6,4,ADJ,5
clarinette,10,10,NOM,5
clarinettiste,3,13,NOM,5
classicisme,2,11,NOM,4
claudel,22,7,NOM,5
clavecin,7,8,NOM,5
clavier,3,7,NOM,4
clicher,6,7,VER:pper,4
clown,5,5,NOM,5
collection,114,10,NOM,4
comédien,44,8,NOM,5
comique,30,7,ADJ,4
commissairepriseur,1,18,NOM,5
concepteur,5,10,NOM,5
concert,140,7,NOM,5
concertino,3,10,NOM,5
concerto,41,8,NOM,5
conservatoire,10,13,ADJ,5
conte,24,5,NOM,5
conteur,11,7,NOM,5
contrebasse,3,11,NOM,5
contrebassiste,2,14,NOM,5
coprésentation,1,14,NOM,5
coproduction,2,12,NOM,5
copyright,3,9,NOM,5
cor,2,8,NOM,5
corbusier,5,9,NOM,5
corneille,3,9,NOM,5
corniste,2,8,NOM,5
costumer,23,8,VER:pres,5
coter,12,5,VER:pres,4
country,7,7,NOM,5
créateur,30,8,ADJ,5
creation,2,8,NOM,5
création,72,8,NOM,5
creations,1,9,NOM,5
créativité,4,10,NOM,5
créer,78,5,VER:infi,4
croisette,2,9,NOM,5
ctv,8,3,NOM,5
ctvnews,1,7,NOM,5
cuivrer,3,7,VER:pres,5
culture,104,7,NOM,5
culturel,111,8,ADJ,5
cyberart,1,8,VER:pres,5
cyrano,1,6,NOM,5
dada,5,4,NOM,5
dadaisme,4,8,NOM,5
dadaïsme,1,8,NOM,5
dadaïste,1,8,ADJ,5
dance,7,5,NOM,5
dancing,3,7,NOM,5
dansant,2,7,ADJ,5
danse,25,5,NOM,4
dansedanse,2,10,NOM,5
danser,74,6,VER:infi,5
danseur,20,7,NOM,5
dante,4,5,ADJ,5
debussy,12,7,NOM,5
décor,35,5,NOM,4
descartes,2,9,VER:subp,5
dessin,47,6,NOM,5
dessinateur,4,11,NOM,5
dessiner,18,8,VER:pres,4
diderot,2,7,ADJ,5
diffuser,19,8,VER:pres,4
digitaliser,1,11,VER:pres,4
discothèque,2,11,NOM,5
disney,10,6,ADJ,5
disquaire,1,9,NOM,5
disque,55,6,NOM,5
disques,18,7,VER:pres,5
distributeur,2,12,ADJ,5
divertissement,1,14,NOM,5
dixieland,2,9,NOM,5
documentaire,25,12,ADJ,5
documentaliste,1,14,NOM,5
documentariste,3,14,NOM,5
dostoïevski,2,11,ADJ,5
dramaturge,10,10,NOM,5
dramaturgie,2,11,NOM,5
drame,37,5,NOM,5
duchamp,2,7,NOM,5
dvd,4,3,ADJ,5
dvorak,3,6,ADJ,5
écomusée,3,8,NOM,5
écran,33,5,NOM,5
ecriture,2,8,VER:pres,5
écriture,49,8,NOM,5
écrivain,98,8,NOM,5
écrivaine,7,9,NOM,5
ecrivains,2,9,NOM,5
éditer,45,6,VER:impf,5
editeur,6,7,NOM,5
éditeur,101,7,NOM,5
editeurs,3,8,NOM,5
editors,1,7,NOM,5
eluard,6,6,ADJ,5
émission,35,8,NOM,4
encadreur,1,9,NOM,5
encrer,3,6,VER:pres,5
encyclopédiste,1,14,NOM,5
entartage,1,9,NOM,5
entarteur,1,9,NOM,5
entertainment,6,13,NOM,5
épisode,18,7,NOM,5
essai,17,5,NOM,5
essayiste,3,9,NOM,4
estampe,10,7,NOM,5
estamper,10,8,VER:pres,5
expo,9,4,NOM,5
exposant,3,8,NOM,4
exposition,205,10,NOM,5
expressionniste,1,15,ADJ,5
fado,1,4,NOM,5
famous,11,6,NOM,5
fanfare,2,7,VER:pres,4
fantasmagorie,1,13,NOM,5
fantasmatique,2,13,ADJ,5
farandoler,5,10,VER:pres,5
fauré,11,5,VER:pper,5
faust,12,5,ADJ,5
feerique,1,8,NOM,5
festival,112,8,NOM,5
festivalier,4,11,ADJ,5
feuilleter,6,10,VER:pper,4
feuilleton,6,10,NOM,5
feydeau,5,7,NOM,5
fiction,28,7,NOM,4
fides,10,5,NOM,5
film,323,4,NOM,5
filmer,8,6,VER:infi,5
flamenco,13,8,ADJ,5
flammarion,14,10,NOM,5
flaubert,3,8,ADJ,5
flûte,13,5,NOM,5
flûter,31,6,VER:pres,5
flûtiste,8,8,NOM,5
folk,6,4,ADJ,5
folklore,4,8,NOM,5
folklorique,3,11,ADJ,4
foule,11,5,NOM,4
francofolies,5,12,NOM,5
fresque,4,7,NOM,5
funk,4,4,NOM,5
galerie,252,7,NOM,4
gallery,4,7,ADJ,5
gallimard,28,9,ADJ,5
gamme,5,5,NOM,5
gershwin,18,8,NOM,5
goethe,44,6,ADJ,5
gogh,5,4,ADJ,5
graffiti,1,8,NOM,5
graffitis,1,9,NOM,5
graveur,5,7,NOM,5
gravure,35,7,NOM,4
grimm,2,5,NOM,5
group,4,5,NOM,4
guggenheim,3,10,NOM,5
guichet,4,7,NOM,5
guitare,11,7,NOM,5
guitariste,7,10,NOM,5
gutenberg,1,9,NOM,5
haendel,5,7,NOM,5
handel,4,6,NOM,5
happening,1,9,NOM,5
harmattan,1,9,NOM,5
harmonie,5,8,VER:pres,4
harpiste,2,8,NOM,5
hautbois,5,8,NOM,5
haydn,13,5,NOM,5
heavy,2,5,NOM,4
hemingway,3,9,NOM,5
hendrix,6,7,NOM,5
héroïne,6,7,NOM,4
héroïsme,1,8,NOM,4
histoire,227,8,NOM,4
hollywood,9,9,ADJ,5
hollywoodien,1,12,ADJ,5
hologramme,2,10,NOM,5
horreur,11,7,NOM,4
humour,31,6,NOM,4
hypertextuel,1,12,ADJ,5
iconographie,2,12,NOM,5
iconographique,3,14,ADJ,5
idoine,3,6,ADJ,5
illustrateur,1,12,NOM,5
imagerie,3,8,NOM,5
imax,4,4,NOM,5
impressionniste,4,15,ADJ,5
imprimé,2,7,ADJ,5
imprimer,10,8,VER:infi,4
imprimerie,2,10,NOM,5
imprimeur,2,9,ADJ,5
improvisateur,1,13,NOM,5
installation,32,12,NOM,5
instrumentiste,1,14,NOM,5
interdisciplinaire,1,18,ADJ,5
intermède,6,9,NOM,4
intermezzo,1,10,NOM,5
interpretation,2,14,NOM,5
isbn,11,4,NOM,5
jam,3,3,NOM,5
jazz,87,4,NOM,5
kilocycle,8,9,NOM,5
laffont,12,7,VER:futu,5
lang,3,4,NOM,5
laser,4,5,NOM,4
lecteur,50,7,NOM,4
lecture,68,7,NOM,5
leméac,5,6,NOM,5
lettre,62,6,VER:pres,4
lettrer,4,7,VER:pper,4
libraire,25,8,NOM,5
librairie,78,9,NOM,5
licorne,5,7,NOM,5
liszt,14,5,VER:subi,5
lisztienne,2,10,ADJ,5
lithographie,1,12,NOM,5
lithographier,2,13,VER:pres,5
lithogravures,1,13,VER:subp,5
litteraire,3,10,ADJ,5
littéraire,73,10,ADJ,5
litteraires,2,11,ADJ,5
littérateur,5,11,NOM,5
litterature,5,11,NOM,5
littérature,30,11,NOM,5
litteratures,1,12,VER:subp,5
littré,2,6,VER:pper,5
live,9,4,ADJ,5
livre,353,5,NOM,5
livres,5,6,VER:pres,5
louvre,1,6,VER:pres,5
lyrique,21,7,ADJ,5
lyrisme,5,7,NOM,5
maestro,11,7,NOM,5
magazine,35,8,NOM,5
magnétoscopique,1,15,ADJ,5
maîtreécrivain,1,14,NOM,5
mallarmé,3,8,ADJ,5
malraux,5,7,ADJ,5
manet,3,5,NOM,5
manuscrit,26,9,ADJ,5
marionnette,5,11,NOM,5
masque,5,6,NOM,5
masterpiece,4,11,NOM,5
matinees,2,8,ADJ,5
maupassant,2,10,ADJ,5
mccord,6,6,ADJ,5
mécène,2,6,NOM,5
media,2,5,NOM,4
média,2,5,ADJ,4
mélodie,15,7,NOM,5
mélodique,4,9,ADJ,5
mélodrame,2,9,NOM,5
melody,3,6,ADJ,5
mélomane,5,8,ADJ,5
mendelssohn,6,11,NOM,5
métrage,32,7,NOM,5
métrostar,2,9,NOM,5
mezzo,3,5,NOM,5
microsillon,5,11,NOM,5
miro,4,4,ADJ,5
molière,7,7,NOM,5
monet,3,5,NOM,5
monographie,3,11,NOM,5
monologuer,2,10,VER:impf,5
montage,14,7,NOM,5
morceau,12,7,NOM,4
mosaïque,3,8,ADJ,5
mousquetaire,2,12,NOM,5
movie,21,5,NOM,5
mozart,39,6,NOM,5
multidisciplinaire,1,18,ADJ,5
musee,5,5,NOM,5
musée,52,5,NOM,5
muséographique,1,14,ADJ,5
muséologie,2,10,NOM,5
muser,121,5,VER:ppre,4
musette,3,7,NOM,5
museum,9,6,NOM,5
music,28,5,ADJ,5
musica,6,6,NOM,5
musical,110,7,ADJ,5
musicalement,2,12,ADV,5
musici,2,6,NOM,5
musicians,2,9,NOM,5
musicien,57,8,NOM,5
musicologiques,1,14,ADJ,5
musique,167,7,NOM,5
musiquer,151,8,VER:pres,5
mystery,4,7,VER:simp,5
narrateur,13,9,NOM,5
narration,8,9,NOM,5
nbc,6,3,NOM,5
notes,12,5,VER:pres,5
nrf,6,3,NOM,5
octave,3,6,NOM,5
ode,3,3,NOM,5
oeuvre,51,6,VER:pres,5
œuvre,403,5,NOM,5
œuvrer,6,6,VER:subi,5
oeuvres,18,7,VER:pres,5
œuvres,20,6,VER:pres,5
olympia,3,7,NOM,5
onf,4,3,NOM,5
onirique,2,8,ADJ,5
onirisme,2,8,NOM,5
opera,15,5,VER:futu,5
opéra,8,5,NOM,5
opérette,2,8,NOM,5
opus,6,4,NOM,5
orchestration,4,13,NOM,5
orchestre,100,9,VER:pres,5
orchestrer,16,10,VER:simp,5
organiste,6,9,NOM,5
orgue,11,5,NOM,5
originalité,5,11,NOM,4
oscar,10,5,NOM,5
osm,9,3,NOM,5
osstidcho,1,9,ADJ,5
ouimetoscope,2,12,NOM,5
pachelbel,2,9,NOM,5
paganini,3,8,NOM,5
page,209,4,NOM,4
pagnol,2,6,ADJ,5
paramount,1,9,ADJ,5
parlementeries,1,14,NOM,5
partition,9,9,NOM,5
parution,17,8,NOM,5
pbs,4,3,NOM,5
pda,10,3,VER:simp,5
peindre,33,7,VER:infi,5
peintre,45,7,NOM,5
peinture,54,8,VER:pres,5
peintures,14,9,VER:pres,5
pellicule,4,9,NOM,5
percussion,6,10,NOM,5
percussioniste,1,14,ADJ,5
percussionniste,1,15,NOM,5
performance,20,11,NOM,5
philharmonique,3,14,ADJ,5
phonographique,1,14,ADJ,5
photo,105,5,NOM,5
photographe,22,11,NOM,5
photographie,19,12,NOM,5
photographier,49,13,VER:pres,5
photographique,20,14,ADJ,5
photogravure,2,12,NOM,5
photomontage,2,12,NOM,5
pianiste,37,8,NOM,5
piano,103,5,ADV,5
picabia,2,7,NOM,5
picasso,29,7,NOM,5
pictorialisme,1,13,NOM,5
pictorialiste,1,13,ADJ,5
pictorialistes,3,14,ADJ,5
piece,6,5,NOM,5
pièce,52,5,NOM,4
planche,11,7,NOM,4
plancher,8,8,VER:pres,4
plaquette,3,9,NOM,5
plateau,17,7,NOM,5
players,6,7,NOM,5
playhouse,4,9,NOM,5
pleiade,3,7,VER:subp,5
plouffe,3,7,NOM,5
poème,31,5,NOM,5
poesie,4,6,ADJ,5
poésie,53,6,NOM,5
poète,49,5,NOM,5
poétique,24,8,ADJ,5
polyphonie,7,10,NOM,5
polyphonique,2,12,ADJ,5
pop,22,3,ADJ,5
portraire,46,9,VER:pres,4
postmodernes,1,12,VER:subp,4
postmodernisme,1,14,NOM,5
poulenc,5,7,NOM,5
presents,3,8,ADJ,5
producteur,33,10,ADJ,5
programme,99,9,VER:pres,5
programmes,4,10,VER:pres,5
projecteur,4,10,NOM,5
projection,9,10,NOM,4
projectionniste,1,15,NOM,5
prokofiev,3,9,NOM,5
prolongation,3,12,NOM,5
prose,11,5,NOM,5
protagoniste,5,12,NOM,5
proust,3,6,ADJ,5
pub,3,3,NOM,4
publication,30,11,NOM,4
publicité,13,9,NOM,4
publier,110,7,VER:infi,5
puf,5,3,NOM,5
pulitzer,1,8,NOM,5
punk,2,4,ADJ,5
quartet,11,7,NOM,5
quatuor,37,7,NOM,5
quichotte,2,9,NOM,5
quintette,5,9,NOM,5
rabelais,2,8,VER:impf,5
rachmaninov,3,11,NOM,5
radio,41,5,NOM,5
radiocanada,1,11,VER:simp,5
radiodiffuser,2,13,VER:pper,4
radiodiffusion,2,14,NOM,5
radiojournal,25,12,NOM,5
radiophonique,8,13,ADJ,5
radioquébec,1,11,NOM,5
radiotélédiffusion,1,18,NOM,5
ramezay,3,7,NOM,5
ravel,14,5,NOM,5
rca,3,3,VER:simp,5
rdi,5,3,VER:pper,5
réalisateur,34,11,NOM,5
realisateurs,1,12,NOM,5
realisation,3,11,NOM,5
récital,26,7,NOM,5
record,5,6,NOM,4
réédition,8,9,NOM,5
refrain,2,7,NOM,5
rembrandt,1,9,NOM,5
renoir,8,6,NOM,5
répertoire,11,10,NOM,5
repetition,1,10,NOM,4
répétition,8,10,NOM,4
représentation,25,14,NOM,5
representations,2,15,VER:impf,5
représenter,32,11,VER:ppre,4
reprises,4,8,VER:pres,4
requiem,8,7,NOM,5
retransmission,1,14,NOM,5
rhapsodie,5,9,NOM,5
rhapsody,12,8,NOM,5
rhythm,3,6,NOM,5
rialto,5,6,ADJ,5
rideau,15,6,NOM,5
rigoletto,2,9,NOM,5
rimbaud,5,7,ADJ,5
riopelle,14,8,VER:pres,5
rock,37,4,NOM,5
rodin,26,5,VER:impf,5
role,4,4,ADJ,5
roll,6,4,NOM,5
roman,229,5,ADJ,5
romancier,20,9,NOM,5
romanesque,15,10,ADJ,5
rossini,3,7,VER:subi,5
rythmer,12,7,VER:pres,4
saltimbanque,1,12,NOM,5
satire,3,6,NOM,5
satirique,3,9,ADJ,5
satyrique,1,9,ADJ,5
saxophone,5,9,NOM,5
saxophoniste,6,12,NOM,5
scarlatti,2,9,ADJ,5
scenario,2,8,ADJ,5
scénario,48,8,NOM,5
scénarisation,1,13,NOM,5
scénariste,4,10,NOM,5
scene,8,5,VER:pres,5
scène,213,5,NOM,5
scénique,3,8,ADJ,5
scénographie,5,12,NOM,5
schubert,15,8,NOM,5
schumann,8,8,NOM,5
sciencefiction,1,14,NOM,5
scripteur,1,9,NOM,5
sculpter,6,8,VER:pper,5
sculpteur,19,9,NOM,5
sculpture,47,9,NOM,5
séquence,4,8,NOM,5
serenade,2,8,NOM,5
sérier,49,6,VER:pres,4
sérigraphie,3,11,NOM,5
shakespeare,10,11,ADJ,5
shakespearien,2,13,ADJ,5
show,28,4,NOM,4
sibelius,2,8,ADJ,5
sketch,3,6,NOM,5
sodec,7,5,NOM,5
solo,19,4,NOM,5
sonate,31,6,NOM,5
sonatine,2,8,NOM,5
song,9,4,NOM,4
sony,2,4,NOM,5
soprano,33,7,ADJ,5
spectacle,130,9,NOM,5
spectateur,40,10,NOM,5
spectrum,5,8,NOM,5
spielberg,4,9,NOM,5
src,12,3,VER:pres,5
staccato,2,8,ADV,5
stanislavski,2,12,NOM,5
stanké,4,6,VER:pper,5
star,35,4,NOM,4
statue,,,NOM,5
statuette,1,9,NOM,5
stendhal,3,8,ADJ,5
stéréo,3,6,ADJ,5
stereophoniques,1,15,ADJ,5
strada,3,6,VER:simp,5
strauss,14,7,NOM,5
stravinski,1,10,ADJ,5
stravinsky,1,10,ADJ,5
streisand,7,9,ADJ,5
studio,26,6,NOM,4
styler,22,6,VER:pres,4
superman,5,8,NOM,5
superstar,1,9,NOM,4
surréalisme,2,11,NOM,5
suspense,3,8,NOM,5
swing,5,5,NOM,5
symphonie,26,9,NOM,5
symphonique,30,11,ADJ,5
symphony,4,8,NOM,5
synchronisation,1,15,NOM,5
tableau,46,7,NOM,4
tango,29,5,ADJ,5
tchaikovski,4,11,NOM,5
tchaikovsky,8,11,ADJ,5
tchékhov,3,8,NOM,5
teinture,2,8,NOM,5
télé,10,4,NOM,5
téléfilm,3,8,NOM,5
telemann,4,8,ADJ,5
téléspectateur,7,14,NOM,5
télétron,2,8,NOM,5
téléviser,7,9,VER:infi,5
téléviseur,1,10,NOM,5
television,11,10,NOM,5
télévision,32,10,NOM,5
télévisuel,1,10,ADJ,4
tempo,8,5,NOM,5
tenor,4,5,NOM,5
ténor,26,5,NOM,4
theater,2,7,VER:infi,5
théâtral,30,8,ADJ,5
theatre,40,7,ADJ,5
théâtre,266,7,NOM,5
theatres,2,8,ADJ,5
thriller,9,8,NOM,5
ticket,3,6,NOM,5
ticketron,6,9,NOM,5
titrer,16,6,VER:pres,5
tnm,18,3,NOM,5
toccata,2,7,NOM,5
toile,12,5,NOM,4
toiler,19,6,VER:pres,5
tomer,30,5,VER:pres,5
toscanini,2,9,NOM,5
tournage,6,8,NOM,5
tournée,2,7,NOM,5
tourner,77,7,VER:pper,4
tqs,4,3,NOM,5
traducteur,5,10,NOM,5
traduction,20,10,NOM,5
tragédie,14,8,NOM,5
tragédien,2,9,NOM,5
traviata,5,8,ADJ,5
trident,5,7,NOM,5
tridimensionnel,1,15,ADJ,4
trilogie,5,8,NOM,5
triptyque,3,9,NOM,5
trombone,1,8,NOM,5
tromboniste,2,11,NOM,5
trompette,3,9,NOM,5
trompettiste,3,12,NOM,5
trophée,2,7,NOM,4
troupe,19,6,NOM,5
truffaut,7,8,NOM,5
tva,16,3,VER:simp,5
tvo,4,3,ADJ,5
typographique,3,13,ADJ,5
uda,4,3,NOM,5
underground,6,11,ADJ,5
valser,11,6,VER:pres,5
varietes,3,8,VER:pres,5
varieties,1,9,VER:pres,4
variety,1,7,NAM,5
vaudeville,3,10,NOM,5
vaudevillesque,1,14,ADJ,5
vedette,44,7,NOM,5
venise,7,6,NOM,5
vêpres,2,12,NOM,4
verlaine,2,8,ADJ,5
vernissage,9,10,NOM,5
vibraphoniste,2,13,NOM,5
video,3,5,ADJ,5
vidéo,37,5,ADJ,5
vidéoclip,2,9,NOM,5
vidéofilms,1,10,NOM,5
videoflow,1,9,NOM,5
vidéographique,1,14,ADJ,5
videotron,1,9,NOM,5
villon,3,6,NOM,5
vinci,3,5,NOM,5
vinyle,2,6,NOM,5
violon,33,6,NOM,5
violoncelle,15,11,NOM,5
violoncelliste,2,14,NOM,5
violoniste,7,10,NOM,5
virgin,3,6,NOM,5
virtuose,9,8,ADJ,4
virtuosité,11,10,NOM,4
visionnements,1,13,NOM,5
vitrail,2,7,NOM,4
vivaldi,6,7,ADJ,5
vlb,12,3,NOM,5
vocalise,1,8,NOM,5
voltaire,4,8,NOM,5
wagner,6,6,NOM,5
warner,4,6,NOM,5
wcax,3,4,ADJ,5
western,1,7,NOM,4
wptz,4,4,ADJ,5
wvny,4,4,NOM,5
zola,13,4,NOM,5
